,Name,Year,Min,Genre,Rate,Votes,Cast
0, The Pallisers ,1974,1335,"Drama, Romance",8.2,488," Susan Hampshire, Philip Latham, Barbara Murray, Moray Watson"
1," Берлин, Александерплац ",1980,931,"Crime, Drama",8.4,4487," Günter Lamprecht, Claus Holm, Hanna Schygulla, Franz Buchrieser"
2, Возвращение в Брайдсхед ,1981,659,"Drama, Romance",8.6,7302," Jeremy Irons, Diana Quick, Roger Milner, Phoebe Nicholls"
3, Север и Юг ,1985,561,"Drama, History, Romance",8.0,10765," Kirstie Alley, Georg Stanford Brown, David Carradine, Philip Casnoff"
4, Холодный дом ,2005,510,"Crime, Drama",8.3,9711," Anna Maxwell Martin, Carey Mulligan, Denis Lawson, Gillian Anderson"
5, Мастер и Маргарита ,2005,500,"Drama, Fantasy, Mystery",7.5,4115," Aleksandr Abdulov, Oleg Basilashvili, Vano Miranyan, Semyon Furman"
6, Крэнфорд ,2007,469,Drama,8.3,9637," Judi Dench, Imelda Staunton, Julia McKenzie, Lisa Dillon"
7, Война и мир ,1965,453,"Drama, History, Romance",8.3,7244, Sergey Bondarchuk 
8, В круге первом ,2006,440,Drama,7.2,301," Evgeniy Mironov, Dmitriy Pevtsov, Sergey Karyakin, Aleksey Kolubkov"
9, A Dance to the Music of Time ,1997,416,Drama,7.5,490," Gillian Barge, Nicholas Jones, Simon Russell Beale, Robin Bailey"
10, Ветер перемен ,1994,375,"Drama, History, Romance",7.5,2518," Douglas Hodge, Juliet Aubrey, Trevyn McDowell, Jonathan Firth"
11, Наш общий друг ,1998,350,Drama,8.1,2484," Paul McGann, Keeley Hawes, Dominic Mafham, David Bradley"
12, Конец парада ,2012,287,"Action, Drama, Romance",7.5,10191," Benedict Cumberbatch, Rebecca Hall, Roger Allam, Adelaide Clemens"
13, Она же Грэйс ,2017,267,"Biography, Crime, Drama",7.7,31906," Sarah Gadon, Edward Holcroft, Rebecca Liddiard, Zachary Levi"
14, White Teeth ,2002,240,"Drama, Comedy",7.3,712," Om Puri, Phil Davis, Naomie Harris, Archie Panjabi"
15, Он так и знал ,2004,240,Drama,6.9,1648," Oliver Dimsdale, Christina Cole, Laura Fraser, Nathan Heath"
16, Унесенные ветром ,1939,238,"Drama, Romance, War",8.2,311001," Victor Fleming, George Cukor, Sam Wood "
17, Темное королевство ,2000,232,"Adventure, Comedy, Drama",7.2,2969," Warren Mitchell, Jonathan Rhys Meyers, Celia Imrie, John Sessions"
18, The Buddha of Suburbia ,1993,222,"Comedy, Drama",7.3,444," Naveen Andrews, David Bamber, Harish Patel, Brenda Blethyn"
19, Бен-Гур ,1959,212,"Adventure, Drama, History",8.1,236289, William Wyler 
20, The Crow Road ,1996,211,Drama,8.2,680," Joe McFadden, Bill Paterson, Peter Capaldi, Valerie Edmond"
21, Troubles ,1988,208,Drama,6.8,72," Ian Charleson, Ian Richardson, Cathleen Delany, Emer Gillespie"
22, Властелин колец: Возвращение короля ,2003,201,"Action, Adventure, Drama",9.0,1783639, Peter Jackson 
23, Доктор Живаго ,1965,197,"Drama, Romance, War",7.9,75886, David Lean 
24, Мэр Кастербриджа ,2003,196,Drama,7.7,1433, David Thacker 
25, Список Шиндлера ,1993,195,"Biography, Drama, History",9.0,1320861, Steven Spielberg 
26, Алиса в стране чудес ,1985,187,"Adventure, Family, Fantasy",7.2,3050," Natalie Gregory, Sheila Allen, Red Buttons, Anthony Newley"
27, Леопард ,1963,186,"Drama, History",8.0,25674, Luchino Visconti 
28, Тэсс ,1979,186,"Drama, Romance",7.3,16603, Roman Polanski 
29, Путешествия Гулливера ,1996,186,"Adventure, Drama, Family",6.9,6723," Ted Danson, Mary Steenburgen, James Fox, Robert Hardy"
30, Геста Берлинг ,1924,183,"Drama, Romance",7.0,1253, Mauritz Stiller 
31, Бархатные пальчики ,2005,181,"Crime, Drama, Romance",7.8,8917," Elaine Cassidy, Sally Hawkins, Imelda Staunton, Rupert Evans"
