,id,name,birth,death,species,ancestry,gender,hair_color,eye_color,wand,patronus,house,associated_groups,books_featured_in
0,1,Euan Abercrombie,between 1 September 1983 and 31 August 1984,,Human,,Male,,,,,Gryffindor,"['Hogwarts School of Witchcraft and Wizardry', 'Gryffindor']",[5]
1,2,Stewart Ackerley,between 1 September 1982and 31 August 1983,,Human,,Male,,,,,Ravenclaw,[],[4]
2,3,African prince,,,Human,Muggle-born or half-blood (possibly),Male,,,,,,['Africa'],[1]
3,4,Agnes's son,,,Human,,Male,,,,,,[],[5]
4,5,Cornelius Agrippa,1486,1535 (aged 48 - 49),Human,,Male,Brown,Green,,,,[],[1]
5,6,Albino peacock,Pre 1997,,Peacock,,Male,,Black,,,,['Lucius Malfoy (owner)'],[7]
6,7,Arkie Alderton,,,Human,Pure-blood or Half-blood,Male,,,,,,"[""Arkie Alderton's Kwik-Repair Shop""]",[7]
7,8,Angus,c. 1980s,,Human,,Male,Brown,,,,,[],[1]
8,9,Antioch Peverell's killer,,,Human,,Male,,,Unknown wand,,,[],[7]
9,10,Apothecary shopkeeper,,,Human,,Male,White,,,,,['Apothecary'],[1]
10,11,Aragog,c. 1942,"20 April, 1997 (aged around 55)",Acromantula,,Male,Brown,Black & Grey/Milky-White (Blind),,,,"['Rubeus Hagrid', 'Forbidden Forest Acromantula colony']","[2, 5, 6, 7]"
11,12,Arcus,,,Human,,Male,,,Unknown,,,[],[7]
12,13,Arkie Alderton's alleged son,,,Human,Muggle-born or half-blood,Male,,,,,,['Alderton family'],[7]
13,14,Armenian warlock,,,Human,,Male,,,,,,[],[2]
14,15,Arnold,c. 1996,,Pygmy Puff,,Male,Purple,,,,,['Ginny Weasley'],[6]
15,16,Bertram Aubrey,"c. 1950s - 1960s, Great Britain or Ireland",,Human,,Male,,,,,,['Hogwarts School of Witchcraft and Wizardry'],[6]
16,17,Avery I,Between 1926 and 1932,,Human,Pure-blood or Half-blood (likely),Male,,,,,Slytherin,"['Avery family', 'Hogwarts School of Witchcraft and Wizardry', 'Slytherin', ""Tom Riddle's gang"", 'Slug Club']",[6]
17,18,Avery II,"Late 1950s or early 1960s, Great Britain or Ireland",,Human,Pure-blood or Half-blood,Male,,,,None,Slytherin,"['Avery family', 'Hogwarts School of Witchcraft and Wizardry', 'Slytherin', 'Death Eaters', 'Lord Voldemort']","[4, 5, 6, 7]"
18,19,Archie Aymslowe,,,Human,,Male,,,,,,['Fresh Air Refreshes Totally (F.A.R.T.)'],[4]
19,20,Malcolm Baddock,between 1 September 1982 and 31 August 1983,,Human,,Male,,,,,Slytherin,[],[4]
20,21,Badgered Boy,1970s - 1980s,,Human,,Male,Unknown (human),,,,,['Hogwarts School of Witchcraft and Wizardry'],[2]
21,22,Ludovic Bagman's father,,,Human,Pure-blood or half-blood,Male,,,,,,['Bagman family'],[4]
22,23,Ludovic Bagman,Before 1964 (most likely),,Human,Pure-blood or Half-blood,Male,Blond,Baby blue,,,,"['Wimbourne Wasps (formerly)', 'British Ministry of Magic', 'Department of Magical Games and Sports', 'Bagman family', 'English National Quidditch team']","[4, 5]"
