,index_left,id,name_left,lat,lon,name_right,poly
0,23,446083,Алтуфьевский район,55.879768754369145,37.58338956985726,Москва,"POLYGON ((37.376684908203096 55.7957880895471, 37.364325289062464 55.7315234841734, 37.39453769140622 55.697412346005066, 37.40827060156247 55.68267328730198, 37.453589205078075 55.636869056546395, 37.4989078085937 55.594899347399334, 37.596411470703096 55.57156334252638, 37.69116855078122 55.57234143382528, 37.817511324218714 55.631431083789636, 37.850470308593714 55.65084893483958, 37.833990816406214 55.69198281565908, 37.846350435546846 55.7082691348538, 37.85321689062496 55.763281945079946, 37.84909701757809 55.81821691873245, 37.7186343710937 55.896229854864345, 37.633490328124964 55.89854466574232, 37.58817172460933 55.91397319398547, 37.54285312109371 55.91243061851775, 37.474188570312464 55.88388185420568, 37.44946933203121 55.88388185420568, 37.411017183593714 55.87461826417799, 37.39453769140622 55.85222208945518, 37.40003085546871 55.83135882022269, 37.376684908203096 55.7957880895471))"
0,427,446114,район Дорогомилово,55.73908798607972,37.53682285424825,Москва,"POLYGON ((37.376684908203096 55.7957880895471, 37.364325289062464 55.7315234841734, 37.39453769140622 55.697412346005066, 37.40827060156247 55.68267328730198, 37.453589205078075 55.636869056546395, 37.4989078085937 55.594899347399334, 37.596411470703096 55.57156334252638, 37.69116855078122 55.57234143382528, 37.817511324218714 55.631431083789636, 37.850470308593714 55.65084893483958, 37.833990816406214 55.69198281565908, 37.846350435546846 55.7082691348538, 37.85321689062496 55.763281945079946, 37.84909701757809 55.81821691873245, 37.7186343710937 55.896229854864345, 37.633490328124964 55.89854466574232, 37.58817172460933 55.91397319398547, 37.54285312109371 55.91243061851775, 37.474188570312464 55.88388185420568, 37.44946933203121 55.88388185420568, 37.411017183593714 55.87461826417799, 37.39453769140622 55.85222208945518, 37.40003085546871 55.83135882022269, 37.376684908203096 55.7957880895471))"
0,733,446080,район Южное Тушино,55.84291962134884,37.42955998644746,Москва,"POLYGON ((37.376684908203096 55.7957880895471, 37.364325289062464 55.7315234841734, 37.39453769140622 55.697412346005066, 37.40827060156247 55.68267328730198, 37.453589205078075 55.636869056546395, 37.4989078085937 55.594899347399334, 37.596411470703096 55.57156334252638, 37.69116855078122 55.57234143382528, 37.817511324218714 55.631431083789636, 37.850470308593714 55.65084893483958, 37.833990816406214 55.69198281565908, 37.846350435546846 55.7082691348538, 37.85321689062496 55.763281945079946, 37.84909701757809 55.81821691873245, 37.7186343710937 55.896229854864345, 37.633490328124964 55.89854466574232, 37.58817172460933 55.91397319398547, 37.54285312109371 55.91243061851775, 37.474188570312464 55.88388185420568, 37.44946933203121 55.88388185420568, 37.411017183593714 55.87461826417799, 37.39453769140622 55.85222208945518, 37.40003085546871 55.83135882022269, 37.376684908203096 55.7957880895471))"
0,1345,446084,район Лианозово,55.900746525445314,37.56846231663455,Москва,"POLYGON ((37.376684908203096 55.7957880895471, 37.364325289062464 55.7315234841734, 37.39453769140622 55.697412346005066, 37.40827060156247 55.68267328730198, 37.453589205078075 55.636869056546395, 37.4989078085937 55.594899347399334, 37.596411470703096 55.57156334252638, 37.69116855078122 55.57234143382528, 37.817511324218714 55.631431083789636, 37.850470308593714 55.65084893483958, 37.833990816406214 55.69198281565908, 37.846350435546846 55.7082691348538, 37.85321689062496 55.763281945079946, 37.84909701757809 55.81821691873245, 37.7186343710937 55.896229854864345, 37.633490328124964 55.89854466574232, 37.58817172460933 55.91397319398547, 37.54285312109371 55.91243061851775, 37.474188570312464 55.88388185420568, 37.44946933203121 55.88388185420568, 37.411017183593714 55.87461826417799, 37.39453769140622 55.85222208945518, 37.40003085546871 55.83135882022269, 37.376684908203096 55.7957880895471))"
0,1347,574667,район Вешняки,55.73068277519259,37.815202087578406,Москва,"POLYGON ((37.376684908203096 55.7957880895471, 37.364325289062464 55.7315234841734, 37.39453769140622 55.697412346005066, 37.40827060156247 55.68267328730198, 37.453589205078075 55.636869056546395, 37.4989078085937 55.594899347399334, 37.596411470703096 55.57156334252638, 37.69116855078122 55.57234143382528, 37.817511324218714 55.631431083789636, 37.850470308593714 55.65084893483958, 37.833990816406214 55.69198281565908, 37.846350435546846 55.7082691348538, 37.85321689062496 55.763281945079946, 37.84909701757809 55.81821691873245, 37.7186343710937 55.896229854864345, 37.633490328124964 55.89854466574232, 37.58817172460933 55.91397319398547, 37.54285312109371 55.91243061851775, 37.474188570312464 55.88388185420568, 37.44946933203121 55.88388185420568, 37.411017183593714 55.87461826417799, 37.39453769140622 55.85222208945518, 37.40003085546871 55.83135882022269, 37.376684908203096 55.7957880895471))"
0,1348,455460,район Нагатинский Затон,55.67968007752749,37.68076194418117,Москва,"POLYGON ((37.376684908203096 55.7957880895471, 37.364325289062464 55.7315234841734, 37.39453769140622 55.697412346005066, 37.40827060156247 55.68267328730198, 37.453589205078075 55.636869056546395, 37.4989078085937 55.594899347399334, 37.596411470703096 55.57156334252638, 37.69116855078122 55.57234143382528, 37.817511324218714 55.631431083789636, 37.850470308593714 55.65084893483958, 37.833990816406214 55.69198281565908, 37.846350435546846 55.7082691348538, 37.85321689062496 55.763281945079946, 37.84909701757809 55.81821691873245, 37.7186343710937 55.896229854864345, 37.633490328124964 55.89854466574232, 37.58817172460933 55.91397319398547, 37.54285312109371 55.91243061851775, 37.474188570312464 55.88388185420568, 37.44946933203121 55.88388185420568, 37.411017183593714 55.87461826417799, 37.39453769140622 55.85222208945518, 37.40003085546871 55.83135882022269, 37.376684908203096 55.7957880895471))"
0,1825,1319142,район Гольяново,55.824294093356286,37.79622638363296,Москва,"POLYGON ((37.376684908203096 55.7957880895471, 37.364325289062464 55.7315234841734, 37.39453769140622 55.697412346005066, 37.40827060156247 55.68267328730198, 37.453589205078075 55.636869056546395, 37.4989078085937 55.594899347399334, 37.596411470703096 55.57156334252638, 37.69116855078122 55.57234143382528, 37.817511324218714 55.631431083789636, 37.850470308593714 55.65084893483958, 37.833990816406214 55.69198281565908, 37.846350435546846 55.7082691348538, 37.85321689062496 55.763281945079946, 37.84909701757809 55.81821691873245, 37.7186343710937 55.896229854864345, 37.633490328124964 55.89854466574232, 37.58817172460933 55.91397319398547, 37.54285312109371 55.91243061851775, 37.474188570312464 55.88388185420568, 37.44946933203121 55.88388185420568, 37.411017183593714 55.87461826417799, 37.39453769140622 55.85222208945518, 37.40003085546871 55.83135882022269, 37.376684908203096 55.7957880895471))"
0,2014,455539,район Орехово-Борисово Северное,55.620018804247906,37.70275294971444,Москва,"POLYGON ((37.376684908203096 55.7957880895471, 37.364325289062464 55.7315234841734, 37.39453769140622 55.697412346005066, 37.40827060156247 55.68267328730198, 37.453589205078075 55.636869056546395, 37.4989078085937 55.594899347399334, 37.596411470703096 55.57156334252638, 37.69116855078122 55.57234143382528, 37.817511324218714 55.631431083789636, 37.850470308593714 55.65084893483958, 37.833990816406214 55.69198281565908, 37.846350435546846 55.7082691348538, 37.85321689062496 55.763281945079946, 37.84909701757809 55.81821691873245, 37.7186343710937 55.896229854864345, 37.633490328124964 55.89854466574232, 37.58817172460933 55.91397319398547, 37.54285312109371 55.91243061851775, 37.474188570312464 55.88388185420568, 37.44946933203121 55.88388185420568, 37.411017183593714 55.87461826417799, 37.39453769140622 55.85222208945518, 37.40003085546871 55.83135882022269, 37.376684908203096 55.7957880895471))"
0,2026,535655,район Нагатино-Садовники,55.672046386538945,37.64220906357429,Москва,"POLYGON ((37.376684908203096 55.7957880895471, 37.364325289062464 55.7315234841734, 37.39453769140622 55.697412346005066, 37.40827060156247 55.68267328730198, 37.453589205078075 55.636869056546395, 37.4989078085937 55.594899347399334, 37.596411470703096 55.57156334252638, 37.69116855078122 55.57234143382528, 37.817511324218714 55.631431083789636, 37.850470308593714 55.65084893483958, 37.833990816406214 55.69198281565908, 37.846350435546846 55.7082691348538, 37.85321689062496 55.763281945079946, 37.84909701757809 55.81821691873245, 37.7186343710937 55.896229854864345, 37.633490328124964 55.89854466574232, 37.58817172460933 55.91397319398547, 37.54285312109371 55.91243061851775, 37.474188570312464 55.88388185420568, 37.44946933203121 55.88388185420568, 37.411017183593714 55.87461826417799, 37.39453769140622 55.85222208945518, 37.40003085546871 55.83135882022269, 37.376684908203096 55.7957880895471))"
0,2669,455451,район Печатники,55.684674661440994,37.705318744623675,Москва,"POLYGON ((37.376684908203096 55.7957880895471, 37.364325289062464 55.7315234841734, 37.39453769140622 55.697412346005066, 37.40827060156247 55.68267328730198, 37.453589205078075 55.636869056546395, 37.4989078085937 55.594899347399334, 37.596411470703096 55.57156334252638, 37.69116855078122 55.57234143382528, 37.817511324218714 55.631431083789636, 37.850470308593714 55.65084893483958, 37.833990816406214 55.69198281565908, 37.846350435546846 55.7082691348538, 37.85321689062496 55.763281945079946, 37.84909701757809 55.81821691873245, 37.7186343710937 55.896229854864345, 37.633490328124964 55.89854466574232, 37.58817172460933 55.91397319398547, 37.54285312109371 55.91243061851775, 37.474188570312464 55.88388185420568, 37.44946933203121 55.88388185420568, 37.411017183593714 55.87461826417799, 37.39453769140622 55.85222208945518, 37.40003085546871 55.83135882022269, 37.376684908203096 55.7957880895471))"
0,2671,535662,Нагорный район,55.664496367259474,37.615551026444,Москва,"POLYGON ((37.376684908203096 55.7957880895471, 37.364325289062464 55.7315234841734, 37.39453769140622 55.697412346005066, 37.40827060156247 55.68267328730198, 37.453589205078075 55.636869056546395, 37.4989078085937 55.594899347399334, 37.596411470703096 55.57156334252638, 37.69116855078122 55.57234143382528, 37.817511324218714 55.631431083789636, 37.850470308593714 55.65084893483958, 37.833990816406214 55.69198281565908, 37.846350435546846 55.7082691348538, 37.85321689062496 55.763281945079946, 37.84909701757809 55.81821691873245, 37.7186343710937 55.896229854864345, 37.633490328124964 55.89854466574232, 37.58817172460933 55.91397319398547, 37.54285312109371 55.91243061851775, 37.474188570312464 55.88388185420568, 37.44946933203121 55.88388185420568, 37.411017183593714 55.87461826417799, 37.39453769140622 55.85222208945518, 37.40003085546871 55.83135882022269, 37.376684908203096 55.7957880895471))"
0,2674,1292749,район Очаково-Матвеевское,55.69284430705704,37.44672073811234,Москва,"POLYGON ((37.376684908203096 55.7957880895471, 37.364325289062464 55.7315234841734, 37.39453769140622 55.697412346005066, 37.40827060156247 55.68267328730198, 37.453589205078075 55.636869056546395, 37.4989078085937 55.594899347399334, 37.596411470703096 55.57156334252638, 37.69116855078122 55.57234143382528, 37.817511324218714 55.631431083789636, 37.850470308593714 55.65084893483958, 37.833990816406214 55.69198281565908, 37.846350435546846 55.7082691348538, 37.85321689062496 55.763281945079946, 37.84909701757809 55.81821691873245, 37.7186343710937 55.896229854864345, 37.633490328124964 55.89854466574232, 37.58817172460933 55.91397319398547, 37.54285312109371 55.91243061851775, 37.474188570312464 55.88388185420568, 37.44946933203121 55.88388185420568, 37.411017183593714 55.87461826417799, 37.39453769140622 55.85222208945518, 37.40003085546871 55.83135882022269, 37.376684908203096 55.7957880895471))"
0,2676,445279,район Северное Тушино,55.861721976490536,37.4282066823779,Москва,"POLYGON ((37.376684908203096 55.7957880895471, 37.364325289062464 55.7315234841734, 37.39453769140622 55.697412346005066, 37.40827060156247 55.68267328730198, 37.453589205078075 55.636869056546395, 37.4989078085937 55.594899347399334, 37.596411470703096 55.57156334252638, 37.69116855078122 55.57234143382528, 37.817511324218714 55.631431083789636, 37.850470308593714 55.65084893483958, 37.833990816406214 55.69198281565908, 37.846350435546846 55.7082691348538, 37.85321689062496 55.763281945079946, 37.84909701757809 55.81821691873245, 37.7186343710937 55.896229854864345, 37.633490328124964 55.89854466574232, 37.58817172460933 55.91397319398547, 37.54285312109371 55.91243061851775, 37.474188570312464 55.88388185420568, 37.44946933203121 55.88388185420568, 37.411017183593714 55.87461826417799, 37.39453769140622 55.85222208945518, 37.40003085546871 55.83135882022269, 37.376684908203096 55.7957880895471))"
0,2696,455208,район Капотня,55.644778127025624,37.80560990093791,Москва,"POLYGON ((37.376684908203096 55.7957880895471, 37.364325289062464 55.7315234841734, 37.39453769140622 55.697412346005066, 37.40827060156247 55.68267328730198, 37.453589205078075 55.636869056546395, 37.4989078085937 55.594899347399334, 37.596411470703096 55.57156334252638, 37.69116855078122 55.57234143382528, 37.817511324218714 55.631431083789636, 37.850470308593714 55.65084893483958, 37.833990816406214 55.69198281565908, 37.846350435546846 55.7082691348538, 37.85321689062496 55.763281945079946, 37.84909701757809 55.81821691873245, 37.7186343710937 55.896229854864345, 37.633490328124964 55.89854466574232, 37.58817172460933 55.91397319398547, 37.54285312109371 55.91243061851775, 37.474188570312464 55.88388185420568, 37.44946933203121 55.88388185420568, 37.411017183593714 55.87461826417799, 37.39453769140622 55.85222208945518, 37.40003085546871 55.83135882022269, 37.376684908203096 55.7957880895471))"
0,2700,446111,район Фили-Давыдково,55.72710274726454,37.46946239221648,Москва,"POLYGON ((37.376684908203096 55.7957880895471, 37.364325289062464 55.7315234841734, 37.39453769140622 55.697412346005066, 37.40827060156247 55.68267328730198, 37.453589205078075 55.636869056546395, 37.4989078085937 55.594899347399334, 37.596411470703096 55.57156334252638, 37.69116855078122 55.57234143382528, 37.817511324218714 55.631431083789636, 37.850470308593714 55.65084893483958, 37.833990816406214 55.69198281565908, 37.846350435546846 55.7082691348538, 37.85321689062496 55.763281945079946, 37.84909701757809 55.81821691873245, 37.7186343710937 55.896229854864345, 37.633490328124964 55.89854466574232, 37.58817172460933 55.91397319398547, 37.54285312109371 55.91243061851775, 37.474188570312464 55.88388185420568, 37.44946933203121 55.88388185420568, 37.411017183593714 55.87461826417799, 37.39453769140622 55.85222208945518, 37.40003085546871 55.83135882022269, 37.376684908203096 55.7957880895471))"
0,2705,1299031,район Соколиная Гора,55.77279359023542,37.73066997567979,Москва,"POLYGON ((37.376684908203096 55.7957880895471, 37.364325289062464 55.7315234841734, 37.39453769140622 55.697412346005066, 37.40827060156247 55.68267328730198, 37.453589205078075 55.636869056546395, 37.4989078085937 55.594899347399334, 37.596411470703096 55.57156334252638, 37.69116855078122 55.57234143382528, 37.817511324218714 55.631431083789636, 37.850470308593714 55.65084893483958, 37.833990816406214 55.69198281565908, 37.846350435546846 55.7082691348538, 37.85321689062496 55.763281945079946, 37.84909701757809 55.81821691873245, 37.7186343710937 55.896229854864345, 37.633490328124964 55.89854466574232, 37.58817172460933 55.91397319398547, 37.54285312109371 55.91243061851775, 37.474188570312464 55.88388185420568, 37.44946933203121 55.88388185420568, 37.411017183593714 55.87461826417799, 37.39453769140622 55.85222208945518, 37.40003085546871 55.83135882022269, 37.376684908203096 55.7957880895471))"
0,2958,434560,район Строгино,55.79704970517137,37.40427494946941,Москва,"POLYGON ((37.376684908203096 55.7957880895471, 37.364325289062464 55.7315234841734, 37.39453769140622 55.697412346005066, 37.40827060156247 55.68267328730198, 37.453589205078075 55.636869056546395, 37.4989078085937 55.594899347399334, 37.596411470703096 55.57156334252638, 37.69116855078122 55.57234143382528, 37.817511324218714 55.631431083789636, 37.850470308593714 55.65084893483958, 37.833990816406214 55.69198281565908, 37.846350435546846 55.7082691348538, 37.85321689062496 55.763281945079946, 37.84909701757809 55.81821691873245, 37.7186343710937 55.896229854864345, 37.633490328124964 55.89854466574232, 37.58817172460933 55.91397319398547, 37.54285312109371 55.91243061851775, 37.474188570312464 55.88388185420568, 37.44946933203121 55.88388185420568, 37.411017183593714 55.87461826417799, 37.39453769140622 55.85222208945518, 37.40003085546871 55.83135882022269, 37.376684908203096 55.7957880895471))"
0,3452,1255987,район Хамовники,55.72913263014045,37.57495998484314,Москва,"POLYGON ((37.376684908203096 55.7957880895471, 37.364325289062464 55.7315234841734, 37.39453769140622 55.697412346005066, 37.40827060156247 55.68267328730198, 37.453589205078075 55.636869056546395, 37.4989078085937 55.594899347399334, 37.596411470703096 55.57156334252638, 37.69116855078122 55.57234143382528, 37.817511324218714 55.631431083789636, 37.850470308593714 55.65084893483958, 37.833990816406214 55.69198281565908, 37.846350435546846 55.7082691348538, 37.85321689062496 55.763281945079946, 37.84909701757809 55.81821691873245, 37.7186343710937 55.896229854864345, 37.633490328124964 55.89854466574232, 37.58817172460933 55.91397319398547, 37.54285312109371 55.91243061851775, 37.474188570312464 55.88388185420568, 37.44946933203121 55.88388185420568, 37.411017183593714 55.87461826417799, 37.39453769140622 55.85222208945518, 37.40003085546871 55.83135882022269, 37.376684908203096 55.7957880895471))"
0,3493,445281,Савёловский район,55.799747849908414,37.570856555401384,Москва,"POLYGON ((37.376684908203096 55.7957880895471, 37.364325289062464 55.7315234841734, 37.39453769140622 55.697412346005066, 37.40827060156247 55.68267328730198, 37.453589205078075 55.636869056546395, 37.4989078085937 55.594899347399334, 37.596411470703096 55.57156334252638, 37.69116855078122 55.57234143382528, 37.817511324218714 55.631431083789636, 37.850470308593714 55.65084893483958, 37.833990816406214 55.69198281565908, 37.846350435546846 55.7082691348538, 37.85321689062496 55.763281945079946, 37.84909701757809 55.81821691873245, 37.7186343710937 55.896229854864345, 37.633490328124964 55.89854466574232, 37.58817172460933 55.91397319398547, 37.54285312109371 55.91243061851775, 37.474188570312464 55.88388185420568, 37.44946933203121 55.88388185420568, 37.411017183593714 55.87461826417799, 37.39453769140622 55.85222208945518, 37.40003085546871 55.83135882022269, 37.376684908203096 55.7957880895471))"
